FIPS,IsMetro
46013,0
46045,0
53027,0
48059,1
48253,1
48441,1
40123,0
26091,0
72003,1
72005,1
72011,1
72071,1
72099,1
72117,1
72131,1
39133,1
39153,1
35035,0
8003,0
8021,0
8023,0
13095,1
13177,1
13273,1
13321,1
41043,1
36001,1
36083,1
36091,1
36093,1
36095,1
37167,0
27047,0
1095,0
35001,1
35043,1
35057,1
35061,1
1123,0
22043,1
22079,1
27041,0
48047,0
48249,0
34041,1
42025,1
42077,1
42095,1
26057,0
26007,0
42013,1
40065,0
48011,1
48065,1
48359,1
48375,1
48381,1
13249,0
13261,0
19015,1
19169,1
25015,1
36057,0
2020,1
2170,1
37085,0
48003,0
18151,0
26161,1
1015,1
55015,1
55087,1
12027,0
40019,0
72013,1
72027,1
72065,1
72115,1
5019,0
20035,0
37021,1
37089,1
37115,1
39005,0
41007,0
20005,0
39009,0
47107,0
47121,0
48213,0
13059,1
13195,1
13219,1
13221,1
13013,1
13035,1
13045,1
13063,1
13077,1
13085,1
13089,1
13097,1
13113,1
13117,1
13121,1
13135,1
13149,1
13151,1
13159,1
13187,1
13199,1
13211,1
13217,1
13227,1
13231,1
13247,1
13255,1
13297,1
13015,1
13057,1
13067,1
13143,1
13223,1
34001,1
34009,1
18033,0
36011,0
1081,1
1087,1
13033,1
13073,1
13181,1
13189,1
13245,1
45003,1
45037,1
23011,0
27099,0
48021,1
48055,1
48209,1
48453,1
48491,1
13087,0
41001,0
6029,1
24003,1
24005,1
24013,1
24025,1
24027,1
24035,1
24510,1
23019,1
55111,0
25001,1
50023,0
40147,0
36037,0
5063,0
22005,1
22007,1
22033,1
22037,1
22047,1
22063,1
22077,1
22091,1
22121,1
22125,1
26025,1
26017,1
48321,0
31067,0
48199,1
48245,1
48361,1
55027,0
54019,1
54081,1
18093,0
48025,0
39091,0
53073,1
27007,0
41013,1
41017,1
41031,1
50003,0
26107,0
48227,0
30009,1
30095,1
30111,1
36007,1
36107,1
1007,1
1009,1
1021,1
1073,1
1115,1
1117,1
1127,1
