FIPS,CENSUS_2020_POP,NET_MIG_2020,R_BIRTH_2020,R_DEATH_2020
1001,58805,100,2.754867783351756,2.992942776974747
1003,231767,1624,2.416219737926452,2.597436218270936
1005,25223,-186,2.3787812710621257,3.647464615628593
1007,22293,-101,2.5119992822859194,2.467142152245099
1009,59134,22,2.3167720769777116,3.365238272398282
1011,10357,-94,2.3172733417012648,3.958675292072994
1013,19051,15,2.467062096477875,4.619180095533043
1015,116441,-115,2.6193522900009447,3.4094519971487705
1017,34772,-49,2.50201311399977,4.8027148280225465
1019,24971,59,2.4828801409635175,4.885667374154019
1021,45014,27,3.265650686453103,3.1767894432843113
1023,12665,-22,2.6056060007895776,4.1847611527832616
1025,23087,-56,2.4689219041018755,4.3747563563910425
1027,14236,-20,2.3180668727170555,2.7395335768474287
1029,15056,14,2.457492029755579,3.188097768331562
1031,53465,92,2.9739081642195826,3.2544655382025627
1033,57227,70,2.9007286770230833,3.075471368410016
1035,11597,-27,2.5006467189790467,3.8803138742778307
1037,10387,-33,2.5994031000288826,2.7919514778087993
1039,37570,3,2.342294383816875,4.1788661165823795
1041,13194,-12,3.1074730938305293,4.547521600727603
1043,87866,290,2.8680035508615394,2.8907654838048846
1045,49326,-79,3.0207192961115843,2.7774398897133357
1047,38462,-201,2.6259684883781396,4.21194945660652
1049,71608,52,2.625404982683499,3.1002122667858343
1051,87977,-84,2.421087329642975,2.784818759448492
1053,36757,-49,2.5301303153140897,3.591152705607095
1055,103436,58,2.79399822112224,3.499748636838238
1057,16321,14,2.573371729673427,3.247350039825991
1059,32113,-31,3.020583564288606,3.3319839317410396
1061,26659,64,2.5882441201845534,3.5260137289470723
1063,7730,-21,3.6222509702457955,4.657179818887451
1065,14785,8,3.043625295908015,4.869800473452823
1067,17146,50,2.332905633967106,3.6743263734981917
1069,107202,54,2.9103934628085297,2.9477061995112033
1071,52579,25,2.415412997584587,3.822818996177181
1073,674721,366,2.8441385402262567,3.010133077227476
1075,13972,-1,2.075579730890352,3.650157457772688
1077,93564,608,2.35133170877688,3.259800778077038
1079,33073,44,2.297946965802921,3.38644816013062
1081,174241,319,2.6400215793068225,1.8594934602074138
1083,103570,577,2.79038331563194,2.0662353963502946
1085,10311,-9,3.103481718553002,6.012995829696441
1087,19532,-17,1.4847429858693426,3.942248617653082
1089,388153,2278,2.7721027532957363,2.174400300912269
1091,19323,-26,2.898100708999638,4.450654660249444
1093,29341,-100,3.340036126921373,4.941890187791827
1095,97612,31,3.4831782977502765,3.216817604392902
1097,414809,-446,3.1050435260565705,3.247277662731522
1099,19772,-26,2.0736394901881448,4.1472789803762895
1101,228954,-645,3.415533251220769,3.1141626702307015
1103,123421,-102,2.7791056627316255,3.0950972686981952
1105,8511,-49,3.5248501938667607,3.642345200328986
1107,19123,-99,1.7256706583695027,4.078857919782461
1109,33009,-84,2.6962343603259717,3.0294768093550246
1111,21967,163,2.867938271042928,3.7328720353257157
1113,59183,42,3.1090008955274318,2.8048595035736614
1115,91103,207,2.557544757033248,2.9087955391150677
1117,223024,770,2.4078126120955594,1.990817131788507
1119,12345,-101,2.2681247468610772,4.779262859457271
1121,82149,-444,2.6658875944929337,3.2258457193635954
1123,41311,6,2.4932826607925254,3.485754399554598
1125,227036,5193,2.691203157208548,2.2507443753413554
1127,65342,-72,2.5251752318569984,4.728964525114015
1129,15388,-51,3.1193137509747855,3.3792565635560177
1131,10600,-38,2.6415094339622645,4.716981132075471
1133,23540,-15,2.3789294817332203,4.248088360237893
2013,3420,0,1.7543859649122808,0.5847953216374269
2016,5232,-17,2.293577981651376,0.9556574923547401
2020,291247,-835,3.3167723616037246,1.6549526690403678
2050,18666,-71,5.839494267652417,1.660773599057109
