FIPS,Unemployment_rate_2020
1001,5.3
1003,6.1
1005,7.7
1007,7.2
1009,4.5
1011,5.9
1013,9.5
1015,7.7
1017,7.4
1019,5.1
1021,5.4
1023,7.3
1025,9.7
1027,4.4
1029,5
1031,4.8
1033,7.2
1035,7.9
1037,6
1039,5.4
1041,6.2
1043,4.7
1045,5.3
1047,11.6
1049,4.9
1051,5.2
1053,6.7
1055,8.3
1057,5.5
1059,4.9
1061,4.5
1063,11.6
1065,10.2
1067,5.3
1069,5.9
1071,5.8
1073,6.7
1075,5.3
1077,6.1
1079,5.4
1081,5.7
1083,4.6
1085,14.3
1087,10.3
1089,5.1
1091,6.8
1093,5.5
1095,4.6
1097,8.5
1099,8.8
1101,8.4
1103,4.9
1105,11.8
1107,7.2
1109,5.4
1111,5.2
1113,5.7
1115,5.3
1117,4.2
1119,7.6
1121,7.7
1123,7.5
1125,7.2
1127,6.4
1129,8.7
1131,15.9
1133,5.1
2013,4.1
2016,4.7
2020,7.9
2050,12.3
2060,7.9
2063,8.7
2066,10.8
2068,17.5
2070,8.9
2090,6.7
2100,16.4
2105,14.1
2110,7
2122,9.6
2130,10.3
2150,6.7
2158,20.8
2164,11.6
2170,8.8
2180,11.1
2185,6.2
2188,12.8
2195,9.2
2198,9.8
2220,7.3
2230,21.7
2240,7.8
2275,9.3
2282,8.6
2290,12.7
4001,12.7
4003,6.9
4005,9.6
4007,7.6
4009,6.2
4011,5.3
4012,7
4013,7.3
4015,9.9
4017,10
4019,7.6
4021,7.4
4023,11.3
4025,7.4
4027,17.1
5001,4.1
5003,9.5
5005,6.1
5007,4.5
5009,5.4
5011,6
5013,5.3
5015,5.8
5017,10.7
5019,6.1
5021,6.2
5023,7.7
5025,6.2
5027,7
5029,6.2
5031,5.4
5033,5.5
5035,8.5
5037,6.2
5039,5.5
5041,7.2
5043,7.1
5045,5.6
5047,5.7
5049,5.2
5051,8.1
5053,5.3
5055,6.1
5057,5.3
5059,5.9
5061,5.1
5063,5.9
5065,8.6
5067,7.4
5069,8.2
5071,6.4
5073,7.8
5075,6.3
5077,7.8
5079,6
5081,6.7
5083,6.8
5085,5.6
5087,4
5089,6.6
5091,7
5093,9.2
5095,6.8
5097,7.1
5099,6
5101,5.2
5103,6.2
5105,5.7
5107,9.3
5109,6.1
5111,5.7
5113,6.8
5115,6
5117,5.5
5119,7.6
5121,6.1
5123,8.1
5125,5.1
5127,4.6
5129,6.5
5131,6.1
5133,5.9
5135,7.3
5137,7.2
5139,8.5
5141,7.3
5143,4.7
5145,6.4
5147,5.9
5149,5.2
6001,8.9
6003,11.7
6005,9.4
6007,9.4
6009,7.8
6011,16.4
6013,9
6015,9.7
6017,8.5
6019,11.6
6021,9
6023,8.5
6025,22.6
6027,8
6029,12.8
6031,11.8
6033,9.8
6035,7.4
6037,12.3
6039,11.1
6041,6.8
6043,11.1
6045,9.1
6047,12.5
6049,8.8
6051,12.1
6053,11.1
6055,8.9
6057,8.1
6059,8.9
6061,7.4
6063,11
6065,10.1
6067,9.4
6069,9.9
6071,9.6
6073,9.4
6075,7.9
6077,11.5
6079,7.8
6081,6.9
6083,8.1
6085,7.1
6087,9.7
6089,8.9
6091,8.3
6093,10
6095,9.7
6097,8
6099,11
6101,11.4
6103,9.1
6105,8.2
6107,13.4
6109,10.6
6111,8.7
6113,7.8
6115,10.6
8001,7.5
8003,5.9
8005,7.3
8007,7
8009,2.2
8011,4
8013,5.7
8014,6.1
8015,5.9
8017,2.2
8019,8.1
8021,5.2
8023,6.7
8025,5.1
8027,4.7
8029,6.1
8031,7.6
8033,6.4
8035,5.3
8037,8.9
8039,4.3
8041,6.7
8043,7.2
8045,6.3
8047,10.8
8049,7.9
8051,6.2
8053,3.8
8055,8.8
8057,3.9
8059,6.6
8061,2.2
8063,2.6
8065,7.6
8067,6.4
8069,5.9
8071,6.9
8073,4.2
8075,4.3
8077,7
8079,5.4
8081,5.6
8083,6.7
8085,6.2
8087,5
8089,5.7
8091,7.5
8093,5.4
8095,2.5
8097,9.8
8099,4.1
8101,7.6
8103,5.1
8105,6.7
8107,7.4
8109,6.6
8111,6.2
8113,10.2
8115,3.3
8117,9.2
8119,7
8121,2.9
8123,6.5
8125,2.6
9001,8
9003,8.2
9005,6.9
9007,6.6
9009,8.1
9011,9.7
9013,6.2
9015,7.8
10001,8.3
10003,7.4
10005,7.2
11001,7.9
12001,5.7
12003,5.3
12005,6.3
12007,6.3
12009,7
12011,9.4
12013,5.4
12015,7.7
12017,8.9
12019,5.7
12021,7.3
12023,6.3
12027,5.4
12029,5.8
12031,7.2
12033,7.1
12035,7.9
12037,5.7
12039,7.3
12041,5.2
12043,6.1
12045,6.1
12047,8.2
12049,6.9
12051,8.8
12053,8.4
12055,8.2
12057,7.6
12059,5.8
12061,7.8
12063,5.8
12065,5.9
12067,4.6
12069,9.2
12071,7.7
12073,6.2
12075,6.4
12077,5.1
12079,6.5
12081,7.2
12083,7.4
12085,6.4
12086,8.2
12087,8.2
12089,5.9
12091,5.8
12093,5.7
12095,11.2
12097,14.1
12099,8
12101,7.5
12103,7.5
12105,9.6
12107,8.4
12109,5.4
12111,8.1
12113,5.5
12115,7.2
12117,7.6
12119,8.3
12121,6
12123,6.7
12125,5
12127,8
12129,4.7
12131,6.1
12133,6.1
13001,4.7
13003,3.9
13005,4.6
13007,5.9
13009,6.9
13011,4.3
13013,5
13015,6.2
13017,6.8
13019,5.7
13021,7.4
13023,6.4
13025,5.3
13027,5.2
13029,5.1
13031,6.5
13033,7.1
13035,6.1
13037,5.1
13039,4.8
13043,4.4
13045,6.3
13047,4.4
13049,3.8
13051,7.6
13053,6.3
13055,8.3
13057,4.8
13059,6.4
13061,12.2
13063,10.3
13065,3.9
13067,5.9
13069,5.8
13071,4.5
13073,4.2
13075,4.8
13077,6.1
13079,5.1
13081,9
13083,4.1
13085,4.6
13087,4.8
13089,7.9
13091,6
13093,9
13095,8.6
13097,7.3
13099,5.7
13101,3.9
13103,4.9
13105,6.9
13107,7
13109,5.1
13111,4.7
13113,5.4
13115,6.2
13117,4.5
13119,5.8
13121,7.9
13123,4.7
13125,4
13127,6.7
13129,5.4
13131,4.4
13133,5.8
13135,6.3
13137,5.4
13139,4.7
13141,8.8
13143,5.8
13145,4.5
13147,5.4
13149,6.5
13151,7.3
13153,5.2
13155,5.6
13157,4.3
13159,4.9
13161,5.1
13163,6.7
13165,6.3
13167,4.9
13169,4.5
13171,6.3
13173,5.3
13175,6.6
13177,4.5
13179,6.2
13181,5.4
13183,4.4
13185,6
13187,4.8
13189,7.9
13191,5.6
13193,7.6
13195,5
13197,5.1
13199,8.6
13201,4
13205,6.5
13207,5
13209,5.4
13211,5.3
13213,7.5
13215,7.8
13217,7.1
13219,3.7
13221,4.7
13223,5.3
13225,6.2
13227,4.7
13229,4.5
13231,4.9
13233,5.9
13235,4.7
13237,6.4
13239,6.3
13241,5.3
13243,5.9
13245,7.6
13247,7.6
13249,4.3
13251,8.1
13253,5
13255,7.5
13257,6.3
13259,5.6
13261,7.4
13263,6.7
13265,7.1
13267,4.3
13269,7.2
13271,9.8
13273,7.5
13275,6.2
13277,5
13279,6.5
13281,6.6
13283,6.1
13285,7.2
13287,7.2
13289,7.5
13291,4.4
13293,6.5
13295,4.9
13297,5.3
13299,5.5
13301,6.7
13303,6.4
13305,5.6
13307,5.6
13309,7.2
13311,4.3
13313,7.2
13315,6
13317,6.7
13319,5.3
13321,5.4
15001,11.4
15003,10.2
15007,16.2
15009,17.7
16001,5.5
16003,9.4
16005,5
16007,4.6
16009,7.6
16011,4
16013,7.9
16015,8
16017,7.8
16019,4.1
16021,6.4
16023,4.2
16025,5.8
16027,6
16029,3.9
16031,3.9
16033,3.4
16035,8.1
16037,5.3
16039,4.9
16041,3.8
16043,3.9
16045,6.1
16047,4
16049,6.7
16051,3.5
16053,4.3
16055,7.1
16057,4.9
16059,6.6
16061,7.9
16063,6.4
16065,2.8
16067,4
16069,5
16071,4.7
16073,6.2
16075,5.6
16077,4.4
16079,9.3
16081,5.8
16083,5.3
16085,8
16087,5.7
17001,6.4
17003,10.2
17005,7
17007,11.3
17009,3.9
17011,7.7
17013,8
17015,7.2
17017,6.8
17019,6.6
17021,8.2
17023,8.3
17025,9.5
17027,5.9
17029,7.5
17031,10.6
17033,7.1
17035,5.8
17037,8.3
17039,6.7
17041,5.7
17043,7.6
17045,6.9
17047,9
17049,6.6
17051,7.6
17053,6.7
17055,10.6
17057,8.6
17059,9.7
17061,6.8
17063,8.5
17065,7.1
17067,6.9
17069,10
17071,7
17073,7.9
17075,6.3
17077,7.8
17079,6.1
17081,10.2
17083,7.5
17085,8.3
17087,9.2
17089,9.2
17091,9
17093,8
17095,8.7
17097,8.1
17099,9.5
17101,9.9
17103,6.9
17105,6.8
17107,6.8
17109,7.2
17111,8
17113,6.9
17115,10
17117,7
17119,7.8
17121,9.3
17123,7.3
17125,8
17127,10.1
17129,6.5
17131,8.1
17133,5.6
17135,8.8
17137,6.9
17139,5.2
17141,8.2
17143,10.4
17145,9.6
17147,5.5
17149,6
17151,7.2
17153,11.9
17155,8.4
17157,7.1
17159,6.8
17161,9.5
17163,9.2
17165,9.9
17167,8.3
17169,6.4
17171,6.7
17173,6.7
17175,7.4
17177,7.4
17179,8.2
17181,8.2
17183,9.3
17185,9.7
17187,6.3
17189,5.3
17191,8.4
17193,8.1
17195,8.1
17197,9.1
17199,8.8
17201,11.5
17203,6.2
18001,5.7
18003,7.9
18005,6.7
18007,5.4
18009,8.1
18011,4.4
18013,6.9
18015,6.4
18017,7
18019,7.3
18021,6.7
18023,5.8
18025,7.3
18027,3.9
18029,7.1
18031,7.6
18033,7
18035,7.5
18037,4.6
18039,7.7
18041,9.9
18043,6.6
18045,6.7
18047,6
18049,6.7
18051,6.3
18053,6.5
18055,6.3
18057,4.8
18059,5.7
18061,6.4
18063,5.1
18065,6.7
18067,11.1
18069,6.7
18071,7.3
18073,7.2
18075,6.7
18077,7.6
18079,7.8
18081,5.7
18083,6.1
18085,6.3
18087,6.5
18089,10.5
18091,9.8
18093,7.1
18095,8.1
18097,8.1
18099,6.6
18101,4.4
18103,8.3
18105,5.7
18107,5.3
18109,5.6
18111,7
18113,8.5
18115,7.5
18117,11.3
18119,6.5
18121,5.6
18123,6.7
18125,5.9
18127,8.2
18129,5
18131,6.2
18133,6.4
18135,6.7
18137,6.5
18139,6.4
18141,8.6
18143,8.6
18145,7.4
18147,5.7
18149,8.2
18151,6.4
18153,7.1
18155,8.2
18157,6.6
18159,6.3
18161,5.6
18163,7.3
18165,7.7
18167,8
18169,6.2
18171,5.6
18173,5.5
18175,7.1
18177,6.9
18179,5.9
18181,5.2
18183,6.1
19001,3.9
19003,3.7
19005,5
19007,5.2
19009,3.4
19011,5
19013,6.1
19015,4
19017,3.8
19019,4.5
19021,3.6
19023,4.6
19025,4
19027,3.9
19029,3.8
19031,4.3
19033,5.1
19035,3.7
19037,4.6
19039,5.3
19041,4.4
19043,5.6
19045,6.6
19047,5.1
19049,3.5
19051,3.9
19053,3.8
19055,3.9
19057,7.3
19059,5
19061,5.7
19063,4.9
19065,5.4
19067,5.9
19069,3.7
19071,3
19073,4.2
19075,4.3
19077,4.9
19079,4.3
19081,4.6
19083,4.5
19085,4
19087,5.2
19089,4.4
19091,4.1
19093,3.5
19095,4.3
19097,6
19099,5.2
19101,5.4
19103,4.7
19105,5.6
19107,4.8
19109,3.7
19111,6.4
19113,6.2
19115,4.8
19117,3.6
19119,2.5
19121,5.6
19123,4.7
19125,4.1
19127,6.9
19129,3.9
19131,3.3
19133,4.7
19135,5.1
19137,4.6
19139,5.8
19141,3.3
19143,2.8
19145,4.9
19147,4.5
19149,3.5
19151,3.4
19153,5.9
19155,5.2
19157,4.8
19159,3.8
19161,3.5
19163,6.7
19165,3.5
19167,2.6
19169,3.5
19171,5
19173,3.6
19175,5.7
19177,4.5
19179,5.9
19181,4.5
19183,4
19185,4.4
19187,5.2
19189,6.3
19191,4.8
19193,5.2
19195,5.3
19197,3.9
20001,5.3
20003,4
20005,6.7
20007,3.2
20009,4.6
20011,5.7
20013,4.4
20015,6.5
20017,5.4
20019,6.1
20021,5.2
20023,2.1
20025,2
20027,4.4
20029,4
20031,5.1
20033,3.3
20035,6.5
20037,5.5
20039,3.6
20041,4.8
20043,4.6
20045,5.9
20047,2.9
20049,4.9
20051,3.4
20053,3.1
20055,3.3
20057,3.3
20059,5.3
20061,7
20063,2.6
20065,4.5
20067,4
20069,2.2
20071,1.7
20073,5.2
20075,1.6
20077,4.4
20079,5.3
20081,2.3
20083,2.5
20085,5.3
20087,4.8
20089,2.9
20091,5
20093,2.5
20095,5.3
20097,3.1
20099,5.6
20101,2.9
20103,5.8
20105,2.9
20107,7.1
20109,2.4
20111,4.6
20113,3.4
20115,4
20117,3
20119,2.7
20121,4.9
20123,2.6
20125,7.3
20127,3.9
20129,3
20131,2.8
20133,6.3
20135,3.3
20137,2.6
20139,5.1
20141,2.7
20143,4.1
20145,3.6
20147,3.3
20149,4.1
20151,3.5
20153,2.5
20155,5.4
20157,3.2
20159,4.1
20161,4.8
20163,3.9
20165,4.6
20167,4.1
20169,5.4
20171,2.4
20173,8.7
20175,4.2
20177,5.8
20179,2.3
20181,3.3
20183,2.6
20185,3.6
20187,2.2
20189,2.7
20191,8.2
20193,2.7
20195,3.4
20197,4.1
20199,2
20201,2.3
20203,1.9
20205,7.7
20207,6
20209,7.9
21001,7
21003,5.4
21005,5.9
21007,6.4
21009,7.4
21011,8.1
21013,7.6
21015,5.3
21017,5.7
21019,8.2
21021,7.1
21023,6.1
21025,10
21027,7.1
21029,6.2
21031,6.9
21033,6
21035,6.1
21037,5.4
21039,4.6
21041,5.8
21043,9.4
21045,6.1
21047,7.8
21049,6.4
21051,8.3
21053,5
21055,5.4
21057,4.8
21059,5.9
21061,7.5
21063,9.8
21065,7.4
21067,5.6
21069,7.2
21071,8.9
21073,6.4
21075,6.5
21077,5.9
21079,6.2
21081,6.9
21083,5.8
21085,7.6
21087,5.3
21089,8.7
21091,6
21093,7
21095,11.5
21097,6
21099,6.4
21101,6
21103,5.7
21105,5.2
21107,7.2
21109,8.4
21111,6.7
21113,5.5
21115,8.4
21117,5.6
21119,8.3
21121,8
21123,7.1
21125,6.8
21127,8.1
21129,6.8
21131,10.6
21133,9.9
21135,9.3
21137,7.8
21139,7.4
21141,5.4
21143,5.2
21145,6.9
21147,7.1
21149,5.6
21151,5.9
21153,15.7
21155,7.7
21157,6
21159,11.4
21161,7.8
21163,7
21165,8.7
21167,7.1
21169,7.7
21171,5.3
21173,7.8
21175,6.6
21177,8.5
21179,6.8
21181,6.8
21183,7
21185,4.7
21187,6.3
21189,9.4
21191,5.1
21193,8.7
21195,8.2
21197,7.2
21199,7.2
21201,5.9
21203,7.2
21205,7.3
21207,8.1
21209,6.1
21211,5.3
21213,7.1
21215,5.6
21217,5.9
21219,4.7
21221,6.8
21223,6.6
21225,6.2
21227,6.4
21229,6.2
21231,6.3
21233,6.3
21235,7
21237,7.5
21239,4.9
22001,7.7
22003,9.6
22005,7
22007,10.6
22009,8.4
22011,7.1
22013,8.1
22015,6.6
22017,9.4
22019,9.5
22021,7.8
22023,6.1
22025,7.5
22027,7
22029,8.7
22031,7.6
22033,8.2
22035,12.5
22037,7.1
22039,8.2
22041,8.6
22043,6.9
22045,10
22047,10.4
22049,5.7
22051,9.6
22053,8
22055,7.4
22057,6.9
22059,5.1
22061,6.6
22063,6.7
22065,9
22067,10.3
22069,7.2
22071,12.4
22073,7.8
22075,7.4
22077,8.3
22079,6.6
22081,6.6
22083,8.1
22085,5.9
22087,10.4
22089,8.1
22091,12.1
22093,10.3
22095,11.6
22097,9.1
22099,8.6
22101,9.6
22103,7
22105,10
22107,8.9
22109,8.1
22111,7.5
22113,7.8
22115,7.6
22117,8.6
22119,8.3
22121,7.5
22123,10.6
22125,5.8
22127,7.5
23001,5.1
23003,5.1
23005,4.9
23007,5.7
23009,5.4
23011,4.6
23013,5
23015,4.9
23017,6.1
23019,5
23021,5.1
23023,4.4
23025,6.2
23027,4.8
23029,5.8
23031,5
24001,7.4
24003,5.5
24005,6.5
24009,5
24011,5.3
24013,4.8
24015,5.6
24017,6.4
24019,6.3
24021,5.6
24023,6.3
24025,5.5
24027,4.9
24029,6.3
24031,6
24033,7.8
24035,5.2
24037,4.6
24039,8.1
24041,5.8
24043,6.5
24045,7.2
24047,10.9
24510,8.5
25001,10.7
25003,9.9
25005,10.7
25007,10.3
25009,10.3
25011,7.9
25013,10.9
25015,7.5
25017,7.6
25019,11.8
25021,8.7
