FIPS,CountyName,PresDemRatio,NumTaxReturns,TotalAgi,SalariesWages,BusinessNetIncome,CapitalGains,PensionsAnnuities,UnemploymentComp,SocialSecurityBenefits,PartnershipIncome,MortgageInterest,CharitableContributions,TotalTaxLiability,EicAmount,NumEicReturns,ChildTaxCredit,UnemploymentRate2020,PctNoHs,PctHsOnly,PctSomeCollege,PctBachelors,CensusPop2020,NetMigration2020,BirthRate2020,DeathRate2020,PctWhite,PctBlack,PctAsian,PctHispanic,PctMale,MedianAge,Pct18_34,Pct65Plus,AgeDependency,OldAgeDependency,ChildDependency
1001,Autauga County,0.274423032999,26320,1555578,1153500,27365,27699,175833,29964,62144,43574,10354,18024,146822,12414,4820,6396,5.3,9.721097947,32.67593887,29.32028356,28.28267962,58805,100,2.754867783351756,2.992942776974747,71.69458379389508,19.462630728679535,1.4981719241561091,3.6000340107133746,72.39350395374544,38.6,18.9,15.3,94.6,25,63.6
1003,Baldwin County,0.227317288518,112470,7871862,4952447,284056,473415,766943,138461,374324,604103,84000,101912,985687,41669,17450,22442,6.1,8.268600135,27.54203782,31.391725,32.79763704,231767,1624,2.416219737926452,2.597436218270936,81.71957181134502,7.860049101036817,0.8918439639810671,5.473600642024102,74.54210478627242,43.2,16.2,20.5,94.2,35.3,72.5
1005,Barbour County,0.4613910615444,10760,422777,304504,7119,13211,45466,10836,21668,11002,2105,4111,38043,8148,2910,3485,7.7,22.18629453,37.60494668,28.74404357,11.46471523,25223,-186,2.3787812710621257,3.647464615628593,44.867779407683464,47.30999484597391,0.4638623478571145,5.986599532173017,78.0279903262895,40.1,20.7,19.1,110.8,31.8,66.5
1007,Bibb County,0.2088108509779,9330,427841,322625,7969,8741,38555,12108,15393,25305,1579,4154,38775,5271,1990,2613,7.2,19.65978281,41.12736175,27.7446488,11.46820664,22293,-101,2.5119992822859194,2.467142152245099,74.2609787825775,19.79545148701386,0.14354281613062397,3.319427623020679,76.55766384066747,39.9,20.299999999999997,16.4,116.1,26,58.5
1009,Blount County,0.0965229794383,24670,1299464,980709,44268,19634,110324,23335,52400,55298,6038,11868,117867,11308,4600,6744,4.5,17.30379839,35.61757459,31.49959747,15.57902954,59134,22,2.3167720769777116,3.365238272398282,85.67490783643927,1.4289579598877127,0.30101126255622823,9.759190989955018,72.65701626813677,41,17.4,18,98.6,30.5,69.9
1011,Bullock County,0.7504355311394,4680,146123,110785,1154,6570,15247,4666,6227,1540,627,1405,10289,4208,1470,1905,5.9,25.95554351,40.58010301,24.46462456,8.999728924,10357,-94,2.3172733417012648,3.958675292072994,22.40030896977889,71.41064014676064,0.08689775031379744,4.856618711982234,79.12522931350777,39.7,15.4,16.1,121.4,26.2,62.6
1013,Butler County,0.4207789301872,8800,366150,266869,7463,11081,34019,15592,15690,6800,1166,3591,30341,7613,2680,3026,9.5,12.40504406,46.96140991,26.86873291,13.76481313,19051,15,2.467062096477875,4.619180095533043,51.18891396777072,44.2496456878904,0.7506167655241195,1.364757755498399,76.27946039577975,41.2,17.2,20.7,84.8,36.4,75.6
1015,Calhoun County,0.3024027645588,51740,2479524,1727437,74911,56421,314715,75064,108134,83020,11371,37309,224915,28311,11450,13965,7.7,13.91379552,34.48815292,31.05294619,20.54510537,116441,-115,2.6193522900009447,3.4094519971487705,69.2075815219725,21.950172190207915,1.0219767951151226,4.302608187837617,75.91655860049296,39.5,19.6,17.7,92.5,29.2,64.9
1017,Chambers County,0.4210213124752,15400,615702,478011,3290,16582,52559,27898,24025,12926,2860,8045,51322,11737,4440,5097,7.4,16.3780428,38.45368404,30.58323803,14.58503512,34772,-49,2.50201311399977,4.8027148280225465,54.21028413666168,38.858851949844706,1.1532267341539169,3.557460025307719,77.75221442539974,41.9,19,19.5,91,32.7,67.5
1019,Cherokee County,0.1330384165049,10800,510237,355969,12360,11472,66709,15496,26857,11502,2634,6006,45939,5841,2340,2791,5.1,16.1314374,37.3595356,30.56398786,15.94503914,24971,59,2.4828801409635175,4.885667374154019,90.93348284009451,3.952584998598374,0.22426014176444675,1.601858155460334,78.32285451123303,46.8,15.100000000000001,22.9,97.8,39.6,72.8
